Продукт,Калорийность,Белки,Жиры,Углеводы
Заячьи шкурки,"35,9 кКал","1,6 г","0,5 г","6,6 г"
Зразы донские,"337,1 кКал","19,1 г","11,3 г","42,5 г"
Зразы картофельные,"189,7 кКал","4,5 г","12,4 г",16 г
"Зразы картофельные с фаршем из пасты ""Океан""","174,8 кКал","5,5 г","10,7 г",15 г
Зразы отбивные,"266,2 кКал","24,4 г","15,2 г","8,5 г"
Зразы рубленые,"303,4 кКал","18,1 г","20,7 г","11,9 г"
Зразы рыбные с черносливом по-российски,122 кКал,"13,8 г","3,4 г","9,7 г"
Имам баилди,"153,2 кКал","8,2 г","11,7 г","4,2 г"
Имбирно-медовый цыпленок,"193,1 кКал","14,5 г","11,1 г","9,5 г"
Индейка с грибами,"221,4 кКал","10,5 г","11,9 г","19,3 г"
"Кабачки и цветная капуста, запеченные под соусом","179,7 кКал","2,8 г",16 г,"6,6 г"
Кабачки с помидорами,"104,4 кКал","1,3 г","8,1 г","7,1 г"
Кабачки улыбаются,"57,5 кКал","1,4 г","2,9 г","6,9 г"
Кабачки фаршированные в томатном соку,"47,1 кКал","1,6 г","0,4 г",10 г
Кабачки фаршированные мясом,"115,9 кКал","5,5 г","8,8 г","3,9 г"
"Кабачки, баклажаны, перец или помидоры, фаршированные мясом или рисом","154,9 кКал",10 г,"8,6 г",10 г
Калаатикко (из картофеля),"119,4 кКал",4 г,"8,4 г","7,5 г"
Калитки картофельные,"157,1 кКал","3,4 г","8,1 г","18,9 г"
Кальмары жареные,"174,6 кКал","9,9 г","14,4 г","1,4 г"
Капуста отварная с маслом или соусом,92 кКал,"1,7 г","7,8 г","4,1 г"
Капуста по-охотничьи,"65,8 кКал","2,3 г","2,4 г","9,5 г"
Капуста со сметаной в горшочке,"119,4 кКал","1,6 г","11,3 г","2,9 г"
Капуста тушеная,"102,2 кКал","2,7 г","5,9 г","10,2 г"
Капуста тушеная,"99,3 кКал","2,6 г","5,8 г","9,8 г"
Капуста тушеная с грибами,"132,1 кКал","8,1 г","7,8 г","7,9 г"
"Капуста, тушенная с лимонным соком","79,6 кКал","1,1 г","5,2 г","7,6 г"
"Капуста, тушенная со свеклой","56,4 кКал","1,7 г","2,4 г","7,4 г"
Капустные котлеты,"99,4 кКал","6,4 г","3,5 г","11,3 г"
Капустные рулетики,160 кКал,"3,1 г","15,4 г","2,4 г"
Капустный пирог,158 кКал,"4,3 г","12,7 г",7 г
Карп по-австрийски,"150,1 кКал","11,7 г","10,9 г","1,4 г"
"Картофельные котлеты, запеченные под соусом грибным или сметанным соусом","228,9 кКал","4,1 г",19 г,11 г
Картофельные лепешки (национальное блюдо республики Коми),"182,7 кКал","4,7 г","7,2 г","26,5 г"
Картофельные оладьи с сыром,178 кКал,"5,4 г","11,6 г","13,8 г"
Картофельные оладьи со свежей капустой,"185,3 кКал","3,7 г","13,5 г",13 г
Картофельный хворост,"227,9 кКал","5,3 г","11,5 г","27,5 г"
Кезан-кебаб,"128,3 кКал","5,5 г","8,5 г",8 г
Кильки с картофельным салатом и яйцом,"114,6 кКал","6,9 г","6,1 г","8,6 г"
Киприана,"294,3 кКал","15,6 г","24,9 г","2,1 г"
Кисло-сладкая капуста,"75,7 кКал","1,5 г","5,3 г",6 г
Кольраби с томатным соусом,"80,6 кКал","4,9 г","4,6 г","5,3 г"
"Кольраби, тушенная с морковью","65,6 кКал","3,5 г","4,1 г","3,9 г"
Корнетики с муссом ветчины,"287,1 кКал","18,5 г","23,3 г","0,9 г"
"Котлета ""Аленушкина загадка""",263 кКал,"8,8 г","24,8 г","1,3 г"
Котлетки по-приморски,"151,9 кКал",13 г,"8,8 г","5,6 г"
Котлеты,"227,4 кКал","10,1 г","19,4 г","3,3 г"
"Котлеты ""Централь""","203,1 кКал","10,9 г","15,5 г","5,4 г"
Котлеты гороховые,236 кКал,"13,3 г","10,4 г","23,7 г"
Котлеты из брюквы,"99,3 кКал","3,1 г","5,6 г","9,6 г"
Котлеты из кабачков с творогом,"122,5 кКал",5 г,"7,9 г","8,3 г"
Котлеты из овощей,"187,6 кКал","3,3 г","13,3 г","14,5 г"
Котлеты из свинины по-сарански (мордовское национальное блюдо),"571,6 кКал","14,2 г","52,9 г","10,4 г"
"Котлеты из филе птицы или дичи, панированные жареные","403,7 кКал","25,1 г","20,4 г",32 г
Котлеты или биточки рыбные,"168,1 кКал","8,1 г","8,4 г","16,1 г"
Котлеты капустно-морковные,198 кКал,"4,5 г","14,1 г","14,2 г"
Котлеты капустные,191 кКал,"4,9 г","13,8 г","12,7 г"
Котлеты картофельные,"189,2 кКал","3,7 г","12,9 г","15,6 г"
Котлеты морковные,"206,2 кКал","4,1 г","14,5 г","15,9 г"
Котлеты мясо-картофельные по-хлыновски,"342,9 кКал","20,8 г","26,1 г","6,7 г"
Котлеты натуральные,"438,2 кКал",29 г,"35,8 г","0,04 г"
Котлеты натуральные из филе птицы или дичи под соусом паровым с грибами,"312,2 кКал","13,3 г",16 г,"30,6 г"
"Котлеты натуральные из филе птицы, дичи или кролика с гарниром","301,7 кКал","11,7 г","22,8 г","13,1 г"
Котлеты натуральные паровые,"209,8 кКал","8,8 г","19,4 г","0,008 г"
Котлеты натуральные рубленые,"490,5 кКал",23 г,"44,3 г",0 г
Котлеты отбивные,"505,2 кКал","18,2 г","43,5 г","10,7 г"
Котлеты по-гречески,"178,1 кКал","6,4 г","6,7 г","24,6 г"
Котлеты по-киевски,"444,7 кКал","21,6 г","27,8 г","28,8 г"
Котлеты полтавские (украинское национальное блюдо),"465,7 кКал","27,8 г","36,7 г","6,3 г"
"Котлеты рубленые из кур, кролика, запеченные с соусом молочным","301,8 кКал","17,7 г","15,8 г","23,7 г"
"Котлеты рубленые из птицы, дичи или кролика с гарниром","328,4 кКал","12,3 г","12,9 г","43,6 г"
"Котлеты рубленые, запеченные с молочным соусом","285,3 кКал","16,2 г",21 г,"8,4 г"
Котлеты рыбные любительские,"148,2 кКал","10,5 г","8,5 г",8 г
Котлеты рыбные с капустой и морковью,"288,7 кКал","20,8 г","20,9 г","4,6 г"
Котлеты рыбные с омлетом и сыром,"322,6 кКал",15 г,"26,2 г","7,3 г"
Котлеты свекольные,"153,5 кКал","3,8 г",9 г,"15,2 г"
"Котлеты, биточки из рыбы и пасты ""Океан""",362 кКал,"11,7 г",10 г,"59,9 г"
"Котлеты, биточки, шницели","317,7 кКал","21,3 г","20,9 г","11,8 г"
Крабы с яйцом,"251,2 кКал","16,7 г","19,9 г","1,3 г"
Красная капуста,73 кКал,"1,1 г","5,2 г","5,9 г"
"Краснокочанная капуста, тушенная с яблоками","44,1 кКал","0,6 г",1 г,"8,7 г"
Креветки с соусом,"211,3 кКал","26,5 г","7,5 г","10,1 г"
"Креветки, запеченные под сметанным или молочным соусом","175,7 кКал","15,1 г","7,8 г","11,9 г"
Крокеты картофельные,"187,3 кКал","4,2 г",13 г,"14,2 г"
Крокеты картофельные,"207,5 кКал","4,3 г","13,6 г","18,2 г"
Крокеты картофельные,"239,7 кКал","4,3 г","20,2 г","10,9 г"
Кролик в маринаде,"194,5 кКал","15,7 г","11,5 г","7,6 г"
Кролик по-любительски,455 кКал,"15,4 г",26 г,"42,3 г"
Кролик под ореховым соусом,"205,4 кКал","8,1 г","17,1 г","5,2 г"
Курзе с зеленью (пельмени с фаршем из зелени - дагестанское национальное блюдо),"162,8 кКал","6,2 г","5,1 г","24,7 г"
"Куриное филе, фаршированное грибами","226,2 кКал","13,4 г",19 г,"0,5 г"
Куриные грудки с соусом из грецких орехов,"227,2 кКал","11,8 г","15,6 г","10,6 г"
Куриные колбаски с жареным картофелем,"141,9 кКал","6,4 г","7,8 г","12,3 г"
Курица по-купечески,"127,9 кКал",7 г,"9,9 г","2,8 г"
Курица почти в сметане,"338,8 кКал","7,3 г","33,6 г","1,9 г"
Курица фаршированная (галантин) или поросенок фаршированный,"325,3 кКал","12,5 г","27,6 г","7,1 г"
"Курица, жаренная целиком","133,8 кКал","8,5 г","9,3 г","4,3 г"
"Курица, тушённая с картофелем и помидорами",123 кКал,"5,6 г",9 г,"5,1 г"
Лангет,"381,3 кКал","33,2 г","27,6 г",0 г
Лук маринованный,"82,2 кКал","1,4 г",5 г,"8,5 г"
Лук порей с грибами,"58,3 кКал","2,4 г","3,6 г","4,3 г"
Лук-порей со свининой,"207,5 кКал",6 г,"15,6 г","11,5 г"
"Лук, жареный во фритюре","239,7 кКал","4,8 г",14 г,"25,3 г"
Луковый клопс,"181,4 кКал","11,4 г","13,3 г","4,2 г"
Люля-кебаб (азербайджанское национальное блюдо),"338,7 кКал","20,1 г","24,6 г","9,9 г"
Макароны с яйцом,"114,9 кКал","3,1 г","7,5 г","9,4 г"
Манты с бараниной (казахское национальное блюдо),"204,9 кКал","11,7 г","10,3 г","17,6 г"
Манты с тыквой,"247,7 кКал",3 г,18 г,"19,7 г"
Масса из рыбы горячего копчения,"340,1 кКал","22,3 г","27,8 г","0,3 г"
Минестроне,"66,8 кКал","4,2 г","3,4 г","5,3 г"
"Мозги, запеченные на гренках","219,6 кКал","9,8 г","12,1 г","19,2 г"
Морепродукты под майонезом,"472,2 кКал",39 г,"34,7 г",1 г
Морковь в формочках,"74,4 кКал","2,1 г","5,3 г","4,8 г"
Морковь глазированная,"146,3 кКал",1 г,"6,8 г","21,6 г"
Морковь с зеленым горошком в молочном соусе,"184,8 кКал","7,4 г","8,9 г","19,9 г"
Морковь тушеная,108 кКал,"0,9 г","8,9 г","6,4 г"
Морковь тушеная с рисом и черносливом,"174,6 кКал","2,6 г","7,1 г","26,6 г"
"Морковь, тушенная в сметанном соусе","152,4 кКал","2,4 г","11,3 г","10,9 г"
"Морковь, тушенная с репчатым луком","57,6 кКал","1,9 г","2,5 г","7,4 г"
"Морковь, тушенная с рисом","130,8 кКал","1,7 г","8,1 г","13,7 г"
"Морковь, тушенная с черносливом или яблоками","146,6 кКал","2,2 г","5,1 г","24,7 г"
Морской гребешок или креветки заливные,222 кКал,"23,6 г","13,7 г","1,2 г"
Морской гребешок отварной с соусом,159 кКал,"16,9 г","6,2 г","9,4 г"
"Мясо ""Пальчики оближешь""","269,4 кКал","9,8 г","24,7 г","2,1 г"
Мясо в горшочке,"57,9 кКал","1,9 г","3,8 г","4,3 г"
Мясо в шубе,"273,5 кКал","11,8 г","24,6 г","1,4 г"
Мясо отварное,"307,2 кКал","34,1 г","18,6 г","0,9 г"
Мясо по-корейски,"173,5 кКал","3,1 г","15,7 г","5,4 г"
Мясо по-французски,"264,6 кКал",10 г,23 г,"4,6 г"
Мясо с курагой,"181,6 кКал","10,1 г","10,6 г","12,3 г"
Мясо с овощами по-индонезийски,"174,7 кКал","5,1 г",11 г,"14,7 г"
Мясо тушеное,"252,3 кКал","17,3 г",9 г,"27,3 г"
Мясо шпигованное,174 кКал,"17,6 г","9,2 г","5,6 г"
"Мясо, жаренное крупным куском","399,3 кКал",35 г,"28,8 г",0 г
"Мясо, жаренное крупным куском, шпигованное","391,5 кКал","32,6 г",29 г,0 г
"Мясо, тушенное с луком в горшочке","293,2 кКал","15,9 г","9,7 г","37,9 г"
Овощи в молочном соусе (1-й вариант),"120,8 кКал","5,6 г","3,7 г","17,5 г"
Овощи отварные с жиром,"90,5 кКал","1,9 г",6 г,"7,5 г"
"Овощи, припущенные в молочном или сметанном соусе","232,1 кКал","4,7 г","17,9 г","13,8 г"
"Овощи, припущенные с жиром","109,2 кКал","2,1 г",6 г,"12,4 г"
Овощное рагу с шампиньонами,"73,2 кКал","1,1 г",6 г,"3,9 г"
Оладьи из капусты с сыром,"213,2 кКал","5,6 г","19,3 г","4,6 г"
Оладьи из печени,"229,1 кКал","20,2 г","14,2 г","5,4 г"
Омлет из взбитых сливок,"256,8 кКал","6,4 г","14,8 г","26,2 г"
Омлет натуральный,"221,9 кКал","12,2 г","18,4 г","1,9 г"
Омлет натуральный,128 кКал,"8,7 г","9,2 г","2,7 г"
Омлет с сыром,342 кКал,"16,3 г","29,7 г","2,6 г"
"Омлет, смешанный с мясными продуктами","351,4 кКал","17,3 г","30,5 г","2,1 г"
"Осетрина, белуга, севрюга, сом с гарниром","132,6 кКал",12 г,8 г,"3,3 г"
Острый рис с помидорами,"128,4 кКал","2,9 г","4,1 г","21,2 г"
Охотничье блюдо,"114,2 кКал","4,9 г","7,9 г","6,4 г"
Палочки из оленины (национальное блюдо народов Севера),"527,1 кКал","21,8 г","47,8 г","2,5 г"
Пампушки с чесноком,"215,3 кКал","5,8 г","3,9 г","41,9 г"
Паста Наполитана,"289,6 кКал","4,2 г","21,5 г",21 г
Паста сырная,"555,2 кКал","14,8 г","54,2 г","2,3 г"
Паштет из печени,"294,5 кКал",14 г,26 г,"1,1 г"
Паштет из фасоли,"330,5 кКал",13 г,"20,9 г",24 г
Паштет рыбный,"276,4 кКал","20,5 г","21,5 г","0,3 г"
"Пельмени ""Московские""",279 кКал,14 г,"14,6 г","24,6 г"
Пельмени из говядины и свинины,"276,9 кКал","13,4 г",12 г,"30,7 г"
Пельмени мясные,245 кКал,"15,5 г",8 г,"29,7 г"
Пельмени по-мордовски,"249,3 кКал","8,9 г","14,2 г",23 г
Пельмени рыбные (полуфабрикат),"209,2 кКал","14,9 г","6,7 г","23,9 г"
"Пельмени рыбные, запеченные в горшочке","377,5 кКал","20,9 г","20,2 г","29,9 г"
Пельмени со свининой и свежей капустой,"268,5 кКал","10,2 г","12,9 г","29,7 г"
Пельмени старорусские с субпродуктами,"265,2 кКал","15,1 г","13,7 г","21,8 г"
"Пельмени, запеченные в сметане","616,6 кКал","25,7 г",40 г,"41,1 г"
Перец с грибами,"73,4 кКал","2,1 г","5,7 г","3,5 г"
"Перец, фаршированный брынзой или сыром с яйцом (карачаево-черкесское национальное блюдо)","175,2 кКал","8,4 г","14,3 г","3,4 г"
"Перец, фаршированный овощами и рисом","131,8 кКал","2,7 г","8,9 г",11 г
Печенка в сметане,"184,7 кКал","8,9 г","14,6 г","4,7 г"
Печеночный паштет,"306,7 кКал","7,3 г","22,2 г","20,7 г"
Печень в сметанном соусе,"112,2 кКал","4,1 г",9 г,"4,1 г"
Печень по Берлински,"118,2 кКал","8,1 г","6,4 г","7,6 г"
Печень по Южноамерикански,"139,8 кКал","14,2 г","9,2 г",0 г
"Печень по-деревенски (печень, запеченная в яйце, - татарское национальное блюдо)",182 кКал,"16,5 г",11 г,"4,6 г"
Печень по-строгановски,347 кКал,"16,3 г","29,1 г","5,3 г"
Печень по-строгановски,"211,8 кКал",6 г,19 г,"4,4 г"
Печень по-шадрински,"84,8 кКал",11 г,"2,6 г","4,7 г"
Печень с грибами,"251,3 кКал","21,6 г","17,3 г","2,5 г"
"Печень, жаренная с жиром или луком","300,3 кКал","23,7 г","21,2 г","3,9 г"
"Печень, тушенная в соусе","362,4 кКал","12,3 г","18,2 г","39,8 г"
"Печенье ""Платочки""","302,2 кКал","8,9 г","19,5 г","24,2 г"
Поджарка,"357,6 кКал","26,1 г","26,1 г","4,9 г"
Поджарка из рыбы,"276,4 кКал","15,2 г",20 г,"9,5 г"
Помидоры жареные,"55,6 кКал","0,8 г","4,2 г",4 г
"Помидоры, фаршированные грибами",58 кКал,"1,6 г","4,1 г","3,9 г"
"Помидоры, фаршированные овощами и рисом",118 кКал,"2,3 г","7,6 г","10,8 г"
"Помидоры, фаршированные творогом","91,5 кКал","5,4 г","6,1 г","4,1 г"
"Помидоры, фаршированные яйцом и луком","95,4 кКал","3,1 г","7,7 г","3,8 г"
Поросенок отварной с хреном,"194,8 кКал","20,5 г","8,6 г","9,5 г"
Поросенок фаршированный,"120,3 кКал","16,5 г","5,7 г","0,6 г"
Почки жареные с помидорами или лимонным соком,"237,9 кКал","19,8 г","15,6 г","4,8 г"
Почки по-русски,"116,4 кКал","8,7 г","5,3 г","9,1 г"
Почки с грибами в соусе красном с вином,"154,7 кКал","12,8 г","9,8 г","4,1 г"
Птица или дичь под паровым соусом с грибами и рисом,322 кКал,"14,4 г","15,4 г","33,5 г"
Птица или кролик жареные,"508,3 кКал","31,2 г",42 г,"1,3 г"
"Птица или кролик, тушенные в соусе","265,5 кКал","17,5 г","19,1 г","6,2 г"
"Птица, дичь или кролик отварные с гарниром","335,8 кКал",16 г,"13,7 г","39,6 г"
"Птица, дичь или кролик по-столичному","396,2 кКал","22,9 г","21,2 г","30,3 г"
Рагу из баранины или свинины,"225,6 кКал","11,2 г","13,3 г","16,2 г"
Рагу из грибов с яйцами,"87,8 кКал","7,3 г","4,4 г","5,1 г"
Рагу из овощей,"147,2 кКал","4,5 г","7,9 г","15,4 г"
Рагу из овощей,"57,3 кКал","1,2 г",3 г,"6,9 г"
"Рагу из птицы, дичи, кролика или субпродуктов","246,2 кКал","14,1 г","16,4 г","11,2 г"
Рагу овощное (1-й вариант),"125,9 кКал","4,7 г","5,2 г","16,1 г"
Рагу овощное (2-й вариант),"107,7 кКал",3 г,"5,3 г","12,7 г"
"Репа или кабачки, фаршированные овощами и рисом","157,8 кКал","4,8 г","10,2 г","12,6 г"
"Репа, фаршированная грибами","189,9 кКал",5 г,"13,1 г","13,8 г"
Рис в капустных листьях с мясным фаршем,"38,4 кКал","1,4 г","1,1 г","6,2 г"
Рис запеченый,"361,2 кКал","10,9 г","23,5 г","28,3 г"
Рис припущенный,"163,6 кКал","5,7 г","6,1 г","22,9 г"
Рис припущенный с томатом,"208,4 кКал","8,3 г","7,7 г","28,3 г"
Ромштекс,"395,3 кКал","26,9 г","27,4 г","11,1 г"
Ромштексы,"212,8 кКал","13,2 г","17,7 г","0,2 г"
Рулет из баранины по-башкирски,"190,5 кКал","14,5 г","11,4 г","7,9 г"
Рулет из говядины,"387,3 кКал","32,5 г","28,1 г","1,3 г"
Рулет из курицы со свининой и черносливом,281 кКал,"18,5 г","19,6 г","8,2 г"
Рулет из печени с яблоками,"124,3 кКал","6,2 г","9,8 г","3,1 г"
Рулет из рыбы,"159,6 кКал","10,6 г","7,4 г","13,5 г"
Рулет или запеканка  картофельные с овощами или овощами и грибами,"128,8 кКал","4,3 г","6,1 г","15,2 г"
Рулет мясной с черносливом,"202,9 кКал","13,2 г","13,7 г","7,3 г"
Рулет с луком и яйцом,"255,5 кКал","17,8 г","16,5 г","9,5 г"
Рулет с макаронами или яйцом,"287,1 кКал","16,2 г","13,9 г",26 г
Рулет яичный с морковью,"198,6 кКал","9,9 г","15,7 г","4,7 г"
Рулетики куриные,142 кКал,"17,1 г","7,9 г","0,7 г"
"Рулетики мясные, фаршированные капустой, по-домашнему","460,4 кКал",16 г,"40,5 г","8,7 г"
"Рыба ""Аппетитная"" (рыба, запеченная с капустой и луком)","248,4 кКал","12,8 г",19 г,"6,9 г"
"Рыба ""Сюрприз"" (окунь)","115,7 кКал","9,3 г","8,2 г","1,2 г"
Рыба (непластованная кусками) отварная,"178,5 кКал","15,1 г","8,7 г","10,5 г"
Рыба (непластованная кусками) припущенная,"186,2 кКал","12,9 г","12,1 г","6,9 г"
Рыба (семейства осетровых) жареная,"242,2 кКал",16 г,"16,7 г","7,5 г"
Рыба (семейства осетровых) отварная,"202,2 кКал","13,3 г","13,7 г",7 г
Рыба (семейства осетровых) припущенная,"193,8 кКал","13,4 г",13 г,"6,2 г"
Рыба (филе) отварная,165 кКал,"19,6 г",6 г,"8,8 г"
Рыба (филе) припущенная,"145,9 кКал","13,8 г","7,5 г","6,3 г"
"Рыба в тесте, жареная",227 кКал,"15,4 г","12,3 г","14,7 г"
Рыба в яблочном соусе,"86,7 кКал","5,9 г","4,8 г","5,2 г"
Рыба жареная,"207,8 кКал","16,6 г","11,3 г","10,6 г"
Рыба заливная с гарниром,"200,7 кКал","20,1 г","11,3 г","4,9 г"
"Рыба по-волжски (рыба маринованная, жареная)","264,8 кКал","24,8 г","14,7 г","8,8 г"
Рыба по-русски,"190,6 кКал","14,5 г","11,6 г","7,5 г"
Рыба по-старорусски в горшочке,"152,3 кКал","4,5 г","13,4 г","3,7 г"
Рыба под майонезом,"191,8 кКал","10,6 г","16,1 г","1,1 г"
Рыба под майонезом,"258,8 кКал",12 г,"22,4 г","2,4 г"
Рыба под маринадом,"6,2 кКал","0,3 г","0,3 г","0,5 г"
Рыба припущенная с соусом белое вино,"172,6 кКал",15 г,"8,6 г","9,4 г"
"Рыба, жаренная во фритюре","245,2 кКал","12,5 г","15,7 г","14,3 г"
"Рыба, жаренная с луком по-ленинградски",220 кКал,12 г,"14,1 г","12,1 г"
"Рыба, запеченная в соусе с грибами","366,4 кКал","25,6 г","27,7 г",4 г
"Рыба, запеченная под молочным соусом","173,8 кКал","9,1 г","10,1 г","12,3 г"
"Рыба, запеченная с картофелем по-русски","193,8 кКал","13,5 г","11,9 г","8,7 г"
"Рыба, печеная со шпиком","97,5 кКал","11,2 г","2,8 г","7,3 г"
"Рыба, тушенная в томате с овощами","122,7 кКал","14,4 г","3,7 г","8,5 г"
Рыбная запеканка,164 кКал,"9,7 г","11,8 г","4,9 г"
Рыбно-картофельные котлеты,"130,2 кКал","6,7 г","9,9 г","3,8 г"
Рыбные котлеты,"241,6 кКал","7,9 г","12,3 г","26,4 г"
Рыбные котлеты,"112,8 кКал","11,8 г","6,1 г","2,7 г"
Рыбные рулеты с овощами,"122,3 кКал","6,8 г","8,5 г","4,9 г"
Рыбный шницель,"215,2 кКал","12,8 г","15,5 г","6,5 г"
Салака в молоке,143 кКал,"6,2 г","11,8 г","3,1 г"
Салака в чесночном соусе,"32,7 кКал","2,4 г","2,1 г","1,1 г"
"Салака, запеченная с рисом и капустой",43 кКал,"2,6 г","1,7 г","4,6 г"
Сациви из курицы или индейки (птица в ореховом соусе - грузинское национальное блюдо),"312,8 кКал","20,4 г","19,4 г","15,1 г"
Свекла тушеная,"106,3 кКал","2,7 г","5,5 г","12,2 г"
Свекла тушеная в сметане или соусе,"144,3 кКал","2,3 г","10,6 г","10,7 г"
Свекла тушеная с яблоками,"166,1 кКал",2 г,"11,8 г","13,9 г"
"Свекла, тушенная в сметанном соусе","174,8 кКал","2,6 г","12,7 г","13,3 г"
"Свекла, фаршированная творогом и изюмом","177,9 кКал","6,2 г","11,5 г","13,2 г"
"Свела, тушенная с яблоками","46,5 кКал","0,4 г",4 г,"2,5 г"
Свинина на сковороде по-зауральски,"155,2 кКал",8 г,"11,5 г","5,1 г"
Свинина по-китайски,"303,9 кКал","9,2 г","23,3 г","15,3 г"
Свинина с капустой и клецками,139 кКал,"4,6 г","9,9 г","8,5 г"
"Свинина, жаренная в тесте","319,1 кКал","10,9 г","25,2 г",13 г
"Свинина, запеченная в тесте","322,9 кКал","13,1 г","27,7 г","5,6 г"
"Свинина, тушенная с капустой","128,5 кКал",4 г,"11,7 г",2 г
Свиные рулетики,"260,4 кКал","10,2 г","21,9 г","6,1 г"
Сельдерей с картофелем,"130,2 кКал","1,3 г","9,6 г","10,3 г"
Сельдерей с морковью,"163,9 кКал","1,4 г","13,8 г","9,1 г"
Сельдерей с яблоками,"131,9 кКал",2 г,"8,8 г","11,9 г"
Сельдерей со сливами,"171,8 кКал","2,9 г","9,3 г","20,4 г"
Сельдерей со стручковой фасолью,120 кКал,"1,6 г","9,6 г","7,3 г"
"Сельдерей, жаренный с яйцом","81,2 кКал","3,2 г","4,6 г","7,3 г"
Сельдь в сметане,"182,6 кКал",11 г,"12,9 г","5,9 г"
Сельдь жареная по-датски,"183,7 кКал","11,1 г","12,8 г","6,3 г"
Сельдь по-московски с яблоками и луком,"235,3 кКал","12,4 г","18,6 г","4,8 г"
Сельдь рубленая,"289,3 кКал","14,1 г","22,8 г","7,5 г"
Сельдь рубленая с орехами,"387,7 кКал",20 г,"23,2 г","26,2 г"
Сельдь с гарниром,"94,4 кКал","6,7 г","3,6 г","9,5 г"
Сельдь с гарниром,"201,6 кКал","9,6 г","16,9 г",3 г
Сельдь с картофелем,"174,5 кКал","9,8 г","10,4 г","11,1 г"
"Сердце, легкие и другие субпродукты в соусе","140,3 кКал","12,2 г","7,6 г","6,1 г"
Сладкая запеканка из фасоли,299 кКал,"11,2 г","15,5 г","30,5 г"
Сладкая картофельная запеканка,"176,7 кКал","3,9 г","11,6 г",15 г
Сладкая фасоль с грушами,"157,7 кКал","9,6 г","2,9 г","24,9 г"
Солянка,"34,9 кКал",2 г,"0,4 г","6,2 г"
Солянка грибная,"43,5 кКал","1,3 г","3,4 г",2 г
Солянка из рыбы на сковороде,"135,8 кКал","14,1 г","6,6 г","5,3 г"
Солянка овощная,"124,9 кКал","3,2 г","8,2 г","10,2 г"
Солянка по-казански (солянка с черносливом - татарское национальное блюдо),"58,6 кКал","2,6 г","3,4 г","4,6 г"
Солянка рыбная,"96,9 кКал","13,3 г","3,8 г","2,5 г"
Солянка сборная мясная,"68,7 кКал","5,2 г","4,6 г","1,7 г"
Солянка сборная мясная на сковороде,"152,5 кКал",9 г,"10,5 г","5,8 г"
Спаржа в соусе,70 кКал,"2,6 г","4,8 г","4,4 г"
Спаржа с сыром,"175,7 кКал","5,5 г","16,1 г","2,3 г"
Спаржа со сливочным маслом,"46,3 кКал","1,8 г",3 г,"3,2 г"
Спаржевая фасоль в яйце,"256,1 кКал",6 г,"19,1 г",16 г
Старинная запеканка из лосося,"104,2 кКал","10,4 г","3,1 г","9,3 г"
Строганина из рыбы (национальное блюдо народов Севера),"172,6 кКал","34,3 г","3,9 г",0 г
Стручковая фасоль с творогом,"119,1 кКал","5,7 г","9,6 г","2,6 г"
Стручковая фасоль с яичницей,"109,6 кКал","4,2 г","8,7 г",4 г
Стручковая фасоль тушеная,"136,6 кКал","3,2 г","11,5 г","5,3 г"
"Судак в соусе ""Рокфор""","128,5 кКал","7,7 г","10,2 г","1,7 г"
Судак или щука фаршированные (целиком),"153,2 кКал","11,1 г","6,8 г","12,7 г"
"Судак, запеченный с картофелем","88,1 кКал","5,6 г","4,9 г","5,9 г"
Творожники вареные из картофеля,"107,2 кКал","5,8 г","4,2 г","12,3 г"
Тельное из рыбы,"194,6 кКал","11,4 г","10,9 г","13,5 г"
Тефтели,"158,5 кКал","9,8 г",9 г,"10,1 г"
Тефтели (1-й вариант),"315,9 кКал","18,7 г","22,1 г","11,2 г"
Тефтели (2-ой вариант),"304,5 кКал","17,5 г","21,1 г","11,9 г"
Тефтели из мяса кролика,"105,9 кКал","7,1 г","5,9 г","6,5 г"
Тефтели рыбные,"303,5 кКал","12,6 г","7,9 г","48,6 г"
Треска с горчичным соусом,"127,5 кКал","8,1 г","8,5 г","4,9 г"
Тулма (голубцы - татарское национальное блюдо),"181,8 кКал","9,3 г",13 г,"7,4 г"
Тушеная морковь со стручковой фасолью,"38,5 кКал","2,1 г","1,7 г","3,9 г"
Тушеная ставрида,"70,3 кКал",6 г,"3,9 г","3,1 г"
Тушенная кольраби,74 кКал,"4,1 г","5,1 г","3,3 г"
Тушеное филе хека,137 кКал,"7,7 г","11,1 г","1,7 г"
Тушеный кролик,"166,9 кКал","10,4 г","12,9 г","2,4 г"
Тушеный стручковый перец,"142,9 кКал","1,3 г","13,3 г","4,7 г"
Тыква в сладком маринаде,"90,7 кКал","0,4 г","0,04 г","23,7 г"
Тыква отварная,"116,9 кКал","2,6 г","7,9 г","9,4 г"
"Тыква, кабачки, баклажаны жареные","89,7 кКал","2,1 г",6 г,"7,2 г"
Уральские сардельки,"295,2 кКал","10,2 г","26,7 г","3,8 г"
Утка тушеная с грибами,170 кКал,"5,8 г",16 г,"0,7 г"
"Утка, фаршированная картофелем и черносливом",340 кКал,"10,5 г","26,1 г","16,9 г"
"Фальшивые ""куриные"" котлеты","157,4 кКал","10,5 г","4,6 г","19,8 г"
Фальшивый заяц,"209,5 кКал",14 г,"16,8 г","0,7 г"
Фаршированная кольраби,"140,6 кКал","9,6 г","10,3 г","2,6 г"
